text
Sao đang ký Hoài ko đc ta
Z cái này hết phút mới Hủy  được đúng không ạ hay sao
mình k dky đc
"Dịch vụ này giờ soạn tin vẫn cài bth phải ko ạ
Tại trước e cài dv này qua *098# nhưng nay e vào *098# ko thấy mục cài 5k 50p này nữa"
Gói cước này 1 ngày đăng ký được mấy lần vậy a/c
Không đăng ký đc nha bạn
Hủy làm sao đây
Sao hủy mà không được vậy ạ
